fold,train_loss,valid_loss,X_sub
1,1.005564392414549,3.76979574092602,1
2,0.9573306478673432,4.046788112724016,2
3,1.0137289810911736,3.82102670032707,3
4,0.9912024361627259,3.931515381441329,4
5,0.9947887423874398,4.15700895415135,5
6,0.9995032014158846,3.8342049255522275,6
7,1.0055131560892834,4.363931856675524,7
8,0.9820303153171097,3.6968729431391516,8
9,1.008397189987515,3.9998215106801216,9
10,1.0298408127472234,3.629729308528718,10
1,1.0046062725694893,3.7417883635089586,1
2,0.9535794315746654,4.059873746994295,2
3,1.0172520740980664,3.8313308261531502,3
4,0.9945661857291274,3.9448791660878504,4
5,0.9989539263426968,4.129790984104159,5
6,1.0016927997919218,3.8269170069066765,6
7,1.0058281150813702,4.3671568756508385,7
8,0.9824001006010236,3.6816686502194207,8
9,1.0100509330007976,3.990838076547982,9
10,1.0272978159637962,3.6139612363749554,10
1,1.0007432416662878,3.7391765961353363,1
2,0.9553103804063626,4.063288046376533,2
3,1.0172598165149005,3.8178521570636037,3
4,0.9965861971409288,3.911247234059533,4
5,0.9968436934296203,4.1497400292993385,5
6,1.0047958765000915,3.8042915266303208,6
7,1.0043959726630327,4.368405250304298,7
8,0.9784130673716073,3.6716080109819544,8
9,1.0051515209798856,4.015606555058998,9
10,1.0273840054066141,3.621587196499256,10
1,1.0050431126992707,3.746247873197457,1
2,0.9600274891507821,4.053802069765383,2
3,1.0163849705739993,3.8143680884563995,3
4,0.9931466741731384,3.944703905304555,4
5,0.9957179624518886,4.135664156231851,5
6,1.004227041361061,3.825077064993288,6
7,1.0032962736960735,4.370718982145497,7
8,0.9795902146538629,3.663850097224818,8
9,1.0102425552479706,4.0090861537531985,9
10,1.030309861793207,3.6197379116769235,10
1,1.0044935227817526,3.7531134138962488,1
2,0.9560087269995111,4.053898693134148,2
3,1.0165585383810727,3.8491701139288343,3
4,0.9945762458499706,3.933384152405051,4
5,0.9991553977961066,4.138741820347762,5
6,1.0028014614248513,3.8334627485113124,6
7,1.0029812859233092,4.349551947964684,7
8,0.9820955827894654,3.658283163130931,8
9,1.010097057035619,3.9873141044048896,9
10,1.0304231191286122,3.635739143412636,10
1,1.0054193286659683,3.765191937430185,1
2,0.9556822755974089,4.062479623034647,2
3,1.0169224516620308,3.819976239251647,3
4,0.9954748970181225,3.922377387503557,4
5,0.9964158224291177,4.138564166443789,5
6,1.0059145710540105,3.812501850229052,6
7,1.007206123065545,4.3618106059087705,7
8,0.979234759969872,3.654002160726312,8
9,1.008079246295089,4.010808633194108,9
10,1.0280040441064398,3.6355291660073843,10
1,1.0048601147847376,3.7615583203140974,1
2,0.9567452372754028,4.036335170593448,2
3,1.0186725550354438,3.8188603501767675,3
4,0.9948094251268138,3.934867570459371,4
5,0.9989841011680703,4.129467840285764,5
6,1.0034462018131878,3.806946187279945,6
7,1.0095411021026721,4.388499733523926,7
8,0.9822813162123462,3.673243893100393,8
9,1.0066462459496444,4.005126515642773,9
10,1.0305241915236536,3.6344486875331654,10
1,1.006474267133391,3.745667851227556,1
2,0.9555329146185988,4.079997320352532,2
3,1.0182858304940314,3.8169571974879695,3
4,0.9922056574981792,3.9505513314643483,4
5,0.9932525661709736,4.140115655651233,5
6,1.0034422820830096,3.8418369109466646,6
7,1.0052779265661729,4.377700661100962,7
8,0.9788805724299302,3.661300576936719,8
9,1.0052148528615963,3.989407734664673,9
10,1.0264689398205449,3.6242532945077297,10
1,1.0031884352778604,3.7357583373651666,1
2,0.9555149675242808,4.057213981483606,2
3,1.0189492455808813,3.834454045984196,3
4,0.9977465321049496,3.9407198609465954,4
5,0.9972505911607644,4.126886759024016,5
6,1.003672295559974,3.827942501818371,6
7,1.0012958222753068,4.355487184096564,7
8,0.9817043790917439,3.6813864477576,8
9,1.009740732356667,3.981301895134158,9
10,1.0286630298475428,3.6393941335178916,10
1,1.0022086679945148,3.765571982203022,1
2,0.9595878608608693,4.082425840166222,2
3,1.0155651409566124,3.819729068572155,3
4,0.9980531832550766,3.9389988763624753,4
5,0.9962895015762803,4.142174286983956,5
6,1.0034946576943116,3.8193749075760026,6
7,1.001200284621168,4.367435477634214,7
8,0.9811403793125519,3.669921885438807,8
9,1.0046849588989295,3.9875933151448413,9
10,1.0275486523646165,3.6228200297378668,10
