coef,var
-161.6441785542963,status1
812.2162595017095,tariff_plan_31
1253.105071564557,tariff_plan_41
-167.60558537767795,tariff_plan_61
-386.19233290889554,tariff_plan_71
-227.77019308871627,tariff_plan_81
21.661834239302166,`payment_method_bank account`1
-6.358691320855567,`payment_method_credit card`1
-19.994009137632105,`payment_method_post account`1
79.01854741361186,gender_B1
-19.10479462863708,gender_F1
-69.6564576448109,gender_M1
-74.67289047621398,age
-1.2682974398629612,activ_area_01
-40.09448054716639,activ_area_11
-31.665091940739813,activ_area_21
86.36860719787546,activ_area_31
-9.98835181838699,activ_area_41
8.475343199429336,activ_chan_21
3.008370598185304,activ_chan_31
-64.9531325878564,activ_chan_41
-34.50902078712816,activ_chan_51
-9.556094805931167,activ_chan_61
10.44195735236771,activ_chan_71
-30.1244487703014,activ_chan_81
52.736209050382215,activ_chan_91
103.80762180870937,vas11
8.043449135721707,vas21
-149.03504328537448,q01_out_ch_peak
193.8740466242519,q01_out_dur_peak
81.58486954542097,q01_out_val_peak
69.21089310679668,q01_out_ch_offpeak
339.94998648117905,q01_out_dur_offpeak
-51.31759011116095,q01_out_val_offpeak
40.95210887781125,q01_in_ch_tot
76.20867299136347,q01_in_dur_tot
18.250543954444836,q01_ch_sms
-112.40343500574168,q01_ch_cc
-132.65814919116178,q02_out_ch_peak
-18.383568308408687,q02_out_dur_peak
120.48678179341333,q02_out_val_peak
-150.3141577261972,q02_out_ch_offpeak
-58.683697109281646,q02_out_dur_offpeak
-160.04579574865593,q02_out_val_offpeak
-59.15833216934011,q02_in_ch_tot
50.131218347733736,q02_in_dur_tot
19.789071697875585,q02_ch_sms
-114.38849878547425,q02_ch_cc
-21.043711420621815,q03_out_ch_peak
111.52065328370706,q03_out_dur_peak
303.521017698081,q03_out_val_peak
56.651007425343565,q03_out_ch_offpeak
226.3011232311785,q03_out_dur_offpeak
115.20677659095873,q03_out_val_offpeak
-128.24860774313612,q03_in_ch_tot
-138.7206990676599,q03_in_dur_tot
-0.6536997751281017,q03_ch_sms
-23.635074194538067,q03_ch_cc
-34.3233323848794,q04_out_ch_peak
-46.2111384455035,q04_out_dur_peak
178.61996956034955,q04_out_val_peak
-41.07514458146816,q04_out_ch_offpeak
7.638873118246392,q04_out_dur_offpeak
-242.60660582636368,q04_out_val_offpeak
-32.835740788051154,q04_in_ch_tot
46.32391874808458,q04_in_dur_tot
-19.898975924294135,q04_ch_sms
-61.47882798267683,q04_ch_cc
-102.55351431145466,q05_out_ch_peak
25.07461854932757,q05_out_dur_peak
204.7379349213042,q05_out_val_peak
297.26943281456647,q05_out_ch_offpeak
-158.15900030301574,q05_out_dur_offpeak
-68.28717198123303,q05_out_val_offpeak
-58.447017446987005,q05_in_ch_tot
-135.6083933065117,q05_in_dur_tot
-30.77209706370216,q05_ch_sms
36.76325367474938,q05_ch_cc
-112.27897584836552,q06_out_ch_peak
-4.652405500728314,q06_out_dur_peak
204.6960646253772,q06_out_val_peak
-257.7394852961751,q06_out_ch_offpeak
373.36386820572807,q06_out_dur_offpeak
216.41044441146363,q06_out_val_offpeak
50.86720443426854,q06_in_ch_tot
164.587224198839,q06_in_dur_tot
-53.14740128938523,q06_ch_sms
64.22132936635178,q06_ch_cc
-98.20151720985197,q07_out_ch_peak
-0.7662585284919531,q07_out_dur_peak
235.2163442823937,q07_out_val_peak
-330.5558856816775,q07_out_ch_offpeak
39.05911983506848,q07_out_dur_offpeak
336.4768094877758,q07_out_val_offpeak
-59.92634966470331,q07_in_ch_tot
-70.85690450416935,q07_in_dur_tot
55.49705012944314,q07_ch_sms
-13.268084701091574,q07_ch_cc
-101.29564748559564,q08_out_ch_peak
-166.9874206117433,q08_out_dur_peak
25.33199674184379,q08_out_val_peak
-320.7820322433305,q08_out_ch_offpeak
224.14470113174798,q08_out_dur_offpeak
345.3556761066664,q08_out_val_offpeak
76.34429352866579,q08_in_ch_tot
-15.399379305199268,q08_in_dur_tot
-75.07891782093424,q08_ch_sms
21.26893805812798,q08_ch_cc
116.80461955750978,q09_out_ch_peak
354.1135833148928,q09_out_dur_peak
513.6724261076166,q09_out_val_peak
1418.133149192068,q09_out_ch_offpeak
1554.1110028466915,q09_out_dur_offpeak
909.8718868139355,q09_out_val_offpeak
143.65880155781872,q09_in_ch_tot
64.22257314300595,q09_in_dur_tot
32.92981661361161,q09_ch_sms
-56.50897587029642,q09_ch_cc
