shrinkage,interaction.depth,n.minobsinnode,bag.fraction,train_error_rate,valid_error_rate
0.01,1,5,0.65,0.15031025473546702,0.15676028739386022
0.1,1,5,0.65,0.13896146309601567,0.15937295885042455
0.3,1,5,0.65,0.1263879817112998,0.16655780535597647
0.01,3,5,0.65,0.1387981711299804,0.1557805355976486
0.1,3,5,0.65,0.056009144350097975,0.16492488569562377
0.3,3,5,0.65,0.011022207707380797,0.16623122142390595
0.01,5,5,0.65,0.12744937949052906,0.15447419986936642
0.1,5,5,0.65,0.01935009797517962,0.16459830176355322
0.3,5,5,0.65,0.0017962116263879817,0.16525146962769433
0.01,1,10,0.65,0.15031025473546702,0.15676028739386022
0.1,1,10,0.65,0.1387981711299804,0.15937295885042455
0.3,1,10,0.65,0.12695950359242325,0.16557805355976485
0.01,3,10,0.65,0.13863487916394512,0.15545395166557804
0.1,3,10,0.65,0.055355976485956894,0.16329196603527107
0.3,3,10,0.65,0.012410189418680601,0.16917047681254083
0.01,5,10,0.65,0.12581645983017636,0.15316786414108427
0.1,5,10,0.65,0.018615284128020902,0.1596995427824951
0.3,5,10,0.65,0.0016329196603527107,0.16786414108425865
0.01,1,15,0.65,0.15031025473546702,0.15676028739386022
0.1,1,15,0.65,0.13847158719790986,0.1603527106466362
0.3,1,15,0.65,0.1254898758981058,0.16721097322011758
0.01,3,15,0.65,0.13896146309601567,0.15480078380143697
0.1,3,15,0.65,0.0581319399085565,0.16263879817112997
0.3,3,15,0.65,0.01314500326583932,0.16949706074461138
0.01,5,15,0.65,0.12655127367733507,0.1557805355976486
0.1,5,15,0.65,0.021799477465708688,0.15839320705421292
0.3,5,15,0.65,0.0023677335075114304,0.16786414108425865
0.01,1,5,0.8,0.1500653167864141,0.1580666231221424
0.1,1,5,0.8,0.1404310907903331,0.15904637491835402
0.3,1,5,0.8,0.12720444154147617,0.16231221423905945
0.01,3,5,0.8,0.1394513389941215,0.15610711952971915
0.1,3,5,0.8,0.05592749836708034,0.16525146962769433
0.3,3,5,0.8,0.008817766165904637,0.1681907250163292
0.01,5,5,0.8,0.12851077726975832,0.15545395166557804
0.1,5,5,0.8,0.018043762246897452,0.16525146962769433
0.3,5,5,0.8,0.0015512736773350751,0.1675375571521881
0.01,1,10,0.8,0.15014696276943174,0.1580666231221424
0.1,1,10,0.8,0.14034944480731548,0.1574134552580013
0.3,1,10,0.8,0.1272860875244938,0.16263879817112997
0.01,3,10,0.8,0.13936969301110386,0.1557805355976486
0.1,3,10,0.8,0.056662312214239056,0.1642717178314827
0.3,3,10,0.8,0.009062704114957545,0.16002612671456565
0.01,5,10,0.8,0.126796211626388,0.15610711952971915
0.1,5,10,0.8,0.018696930111038536,0.1636185499673416
0.3,5,10,0.8,0.0014696276943174395,0.16394513389941215
0.01,1,15,0.8,0.1500653167864141,0.1580666231221424
0.1,1,15,0.8,0.14157413455258,0.1580666231221424
0.3,1,15,0.8,0.12744937949052906,0.16329196603527107
0.01,3,15,0.8,0.13953298497713912,0.15643370346178967
0.1,3,15,0.8,0.057968647942521226,0.16623122142390595
0.3,3,15,0.8,0.010858915741345525,0.1698236446766819
0.01,5,15,0.8,0.12744937949052906,0.1557805355976486
0.1,5,15,0.8,0.02106466361854997,0.15937295885042455
0.3,5,15,0.8,0.001959503592423253,0.1743958197256695
0.01,1,5,1,0.15031025473546702,0.1603527106466362
0.1,1,5,1,0.14483997387328543,0.1574134552580013
0.3,1,5,1,0.13528739386022207,0.16002612671456565
0.01,3,5,1,0.14100261267145656,0.15512736773350752
0.1,3,5,1,0.06499020248203788,0.1603527106466362
0.3,3,5,1,0.010940561724363161,0.1681907250163292
0.01,5,5,1,0.13267472240365774,0.1541476159372959
0.1,5,5,1,0.02375898105813194,0.1603527106466362
0.3,5,5,1,0.0031025473546701502,0.16688438928804702
0.01,1,10,1,0.15022860875244937,0.1603527106466362
0.1,1,10,1,0.14467668190725017,0.1580666231221424
0.3,1,10,1,0.13528739386022207,0.1603527106466362
0.01,3,10,1,0.14124755062050948,0.1534944480731548
0.1,3,10,1,0.06147942521227956,0.1580666231221424
0.3,3,10,1,0.011593729588504246,0.16949706074461138
0.01,5,10,1,0.1323481384715872,0.15480078380143697
0.1,5,10,1,0.023269105160026126,0.16263879817112997
0.3,5,10,1,0.0027759634225996083,0.1642717178314827
0.01,1,15,1,0.15022860875244937,0.1603527106466362
0.1,1,15,1,0.1445133899412149,0.15708687132593077
0.3,1,15,1,0.13577726975832788,0.15708687132593077
0.01,3,15,1,0.1410842586544742,0.1541476159372959
0.1,3,15,1,0.06311234487263227,0.15904637491835402
0.3,3,15,1,0.011430437622468974,0.1675375571521881
0.01,5,15,1,0.13251143043762248,0.15382103200522534
0.1,5,15,1,0.02433050293925539,0.16263879817112997
0.3,5,15,1,0.0030209013716525146,0.16459830176355322
