k,kernel,valid_loss
1,rectangular,143941.26720746545
215,rectangular,95491.35636016763
430,rectangular,99056.32315365569
645,rectangular,102601.58982748697
860,rectangular,105651.60336095613
1075,rectangular,108432.41336578829
1289,rectangular,110894.72522340513
1504,rectangular,112855.06153325466
1719,rectangular,114808.05121554167
1934,rectangular,116395.13139249047
2149,rectangular,117855.89199043286
2364,rectangular,119348.25036727142
2578,rectangular,120678.41601507564
2793,rectangular,121869.99433503371
3008,rectangular,122935.7006103067
3223,rectangular,123915.21196743388
3438,rectangular,124896.40311748875
3653,rectangular,125936.94717234634
3867,rectangular,126976.86032653405
4082,rectangular,127978.01623176006
1,triangular,143941.26720746545
215,triangular,92242.12084555549
430,triangular,94496.60486797383
645,triangular,96269.0737004167
860,triangular,97813.75062420942
1075,triangular,99201.64821651968
1289,triangular,100579.20458965805
1504,triangular,101883.93356704668
1719,triangular,103139.45344820476
1934,triangular,104316.13970436441
2149,triangular,105393.4791397647
2364,triangular,106436.40097601712
2578,triangular,107437.68414376273
2793,triangular,108402.95185085686
3008,triangular,109314.06614112771
3223,triangular,110188.08148501976
3438,triangular,111035.08953898521
3653,triangular,111857.47518389784
3867,triangular,112658.73840622428
4082,triangular,113449.98674280944
1,epanechnikov,143941.26720746545
215,epanechnikov,92598.26359398534
430,epanechnikov,94881.09174845288
645,epanechnikov,96711.47706582169
860,epanechnikov,98336.42791362792
1075,epanechnikov,99801.41220546686
1289,epanechnikov,101259.1771113817
1504,epanechnikov,102632.80631537212
1719,epanechnikov,103947.40434220526
1934,epanechnikov,105176.15692338876
2149,epanechnikov,106296.90082552994
2364,epanechnikov,107380.52155169545
2578,epanechnikov,108420.14166347921
2793,epanechnikov,109420.04383989918
3008,epanechnikov,110360.83931958325
3223,epanechnikov,111260.28191792069
3438,epanechnikov,112130.57298856728
3653,epanechnikov,112975.00870296085
3867,epanechnikov,113797.84493687811
4082,epanechnikov,114610.65065316674
1,biweight,146159.04703299227
215,biweight,90727.4964181782
430,biweight,92501.67954180812
645,biweight,93835.11204159263
860,biweight,94895.2113463942
1075,biweight,95815.3331412625
1289,biweight,96679.1928487416
1504,biweight,97516.49502384319
