num.trees,mtry,min.node.size,sample.fraction,replace,train_loss,valid_loss
100,3,1,0.5,TRUE,29613.280811207766,64160.06409649309
670,3,1,0.5,TRUE,29306.11769335506,63564.984810974456
500,3,1,0.5,TRUE,29365.83105295134,63670.55983158742
100,10,1,0.5,TRUE,24083.91329201842,59945.31443523622
670,10,1,0.5,TRUE,23500.894223399355,59930.34439777699
500,10,1,0.5,TRUE,23627.042497688242,59822.16895997297
100,16,1,0.5,TRUE,23092.61616012196,60076.99518605892
670,16,1,0.5,TRUE,22708.644817827717,59270.15686945007
500,16,1,0.5,TRUE,22699.103906052784,59322.33482249107
100,22,1,0.5,TRUE,22722.75056370288,59847.86995306019
670,22,1,0.5,TRUE,22327.972968775062,59464.2689888388
500,22,1,0.5,TRUE,22284.326475370657,59132.055353371354
100,26,1,0.5,TRUE,22537.36599576009,59848.10343822144
670,26,1,0.5,TRUE,22225.581263834232,59189.573955521126
500,26,1,0.5,TRUE,22169.823511733382,59230.82697460617
100,3,3,0.5,TRUE,31574.98924778803,63716.55479219059
670,3,3,0.5,TRUE,31354.902705390796,63655.745874890315
500,3,3,0.5,TRUE,31366.2879071411,63345.87623128398
100,10,3,0.5,TRUE,25610.17933218241,60623.429541462894
670,10,3,0.5,TRUE,25184.795517599396,59879.510716177596
500,10,3,0.5,TRUE,25221.34893928438,59969.65878888809
100,16,3,0.5,TRUE,24743.210603108157,60304.71846793435
670,16,3,0.5,TRUE,24200.596750454733,59518.24079925564
500,16,3,0.5,TRUE,24283.490584599218,59477.146145505976
100,22,3,0.5,TRUE,24181.025028242846,60115.652949922216
670,22,3,0.5,TRUE,23820.194143845893,59141.92983317067
500,22,3,0.5,TRUE,23792.697344230808,59323.697767966034
100,26,3,0.5,TRUE,24017.44447598183,59922.731658557066
670,26,3,0.5,TRUE,23609.433963503776,59236.61002801563
500,26,3,0.5,TRUE,23628.294371793236,59221.976797763986
100,3,5,0.5,TRUE,34313.43084722575,64217.34940290809
670,3,5,0.5,TRUE,33920.38711183684,63680.23954800237
500,3,5,0.5,TRUE,33913.93835298468,63828.2437635925
100,10,5,0.5,TRUE,27551.408309098653,60557.19551583345
670,10,5,0.5,TRUE,27301.727849189832,60017.4766966138
500,10,5,0.5,TRUE,27344.799299785904,59964.22624562058
100,16,5,0.5,TRUE,26442.991752559898,59935.472023515205
670,16,5,0.5,TRUE,26165.255857685766,59546.622493994284
500,16,5,0.5,TRUE,26161.231426721843,59441.650800204385
100,22,5,0.5,TRUE,26265.742770170018,59698.3238670045
670,22,5,0.5,TRUE,25652.949472782224,59248.6536855647
500,22,5,0.5,TRUE,25712.5557908537,59237.46017525875
100,26,5,0.5,TRUE,25985.413464788602,60029.90040606758
670,26,5,0.5,TRUE,25439.57978159675,59264.65648535111
500,26,5,0.5,TRUE,25542.310539021488,59214.84949150101
100,3,10,0.5,TRUE,38893.7153709268,64937.3059036943
670,3,10,0.5,TRUE,38459.22175858295,63853.38847082204
500,3,10,0.5,TRUE,38617.72473988056,64094.45106054656
100,10,10,0.5,TRUE,32218.645119039502,60671.56088859222
670,10,10,0.5,TRUE,31923.252369041435,60235.3736434153
500,10,10,0.5,TRUE,31865.57917029145,60209.77660429943
100,16,10,0.5,TRUE,31062.207965898284,59803.06791635448
670,16,10,0.5,TRUE,30599.25415579168,59645.76367894681
500,16,10,0.5,TRUE,30702.498024165645,59665.79483892799
100,22,10,0.5,TRUE,30253.09450904681,59623.93367874275
670,22,10,0.5,TRUE,29990.769136657927,59375.42102616785
500,22,10,0.5,TRUE,29964.29145975444,59414.50737460903
100,26,10,0.5,TRUE,30058.839106091888,59869.0326880026
670,26,10,0.5,TRUE,29652.353309058635,59473.21049732849
500,26,10,0.5,TRUE,29636.14962879949,59350.128889502375
100,3,1,0.6,TRUE,25952.027579079157,64119.876147232266
670,3,1,0.6,TRUE,25731.035641356146,63305.55687714275
500,3,1,0.6,TRUE,25776.206980715484,63253.52976296768
100,10,1,0.6,TRUE,20023.649657084854,60199.93796343365
670,10,1,0.6,TRUE,19637.2285306207,59824.94211866921
500,10,1,0.6,TRUE,19690.4164179027,59609.448001462006
100,16,1,0.6,TRUE,19121.361806230885,60181.49417827778
670,16,1,0.6,TRUE,18754.387681366385,59269.11226242673
500,16,1,0.6,TRUE,18796.44267299675,59504.7147021702
100,22,1,0.6,TRUE,18819.84894316819,59712.38046709617
670,22,1,0.6,TRUE,18387.700204184235,59240.18006052627
500,22,1,0.6,TRUE,18385.59213417538,59055.6414346537
100,26,1,0.6,TRUE,18554.292280200978,59499.50129616082
670,26,1,0.6,TRUE,18246.737081297186,59441.61067482561
500,26,1,0.6,TRUE,18274.491298185287,59341.65962815998
100,3,3,0.6,TRUE,28072.606254852777,64048.59714936668
670,3,3,0.6,TRUE,27819.722520288953,63274.77421845413
500,3,3,0.6,TRUE,27957.267411752407,63434.04507239008
100,10,3,0.6,TRUE,21637.42286307788,60026.72160824812
670,10,3,0.6,TRUE,21367.605876250873,59643.33186664451
500,10,3,0.6,TRUE,21342.167667504516,59600.69240742757
100,16,3,0.6,TRUE,20827.767542134494,60002.53349678357
670,16,3,0.6,TRUE,20274.783729141047,59469.47711311413
500,16,3,0.6,TRUE,20164.616603174476,59147.271643428256
100,22,3,0.6,TRUE,20254.50406577729,59641.11108076376
670,22,3,0.6,TRUE,19836.246752461197,59262.45534780764
500,22,3,0.6,TRUE,19761.08585527505,59111.22884273536
100,26,3,0.6,TRUE,20091.87187173785,59950.551831451405
670,26,3,0.6,TRUE,19658.84561469192,59257.05923483648
500,26,3,0.6,TRUE,19735.943236253235,59427.5215923177
100,3,5,0.6,TRUE,30624.88296630905,63740.00692398902
670,3,5,0.6,TRUE,30252.36390349412,63277.99249472401
500,3,5,0.6,TRUE,30235.976315863947,63425.89626233272
100,10,5,0.6,TRUE,23678.919172139395,60082.0391532043
670,10,5,0.6,TRUE,23376.22004992293,59927.62658349307
500,10,5,0.6,TRUE,23492.242067583626,59821.497020200695
100,16,5,0.6,TRUE,22619.131442908198,60099.25830395051
670,16,5,0.6,TRUE,22212.244766986518,59377.49374799965
500,16,5,0.6,TRUE,22212.401190483135,59337.143896065376
100,22,5,0.6,TRUE,22126.62649760911,59253.60097758191
670,22,5,0.6,TRUE,21662.054567007595,59288.5760835794
500,22,5,0.6,TRUE,21659.728426461752,59147.45890613922
100,26,5,0.6,TRUE,21772.42025406993,59863.106229033845
670,26,5,0.6,TRUE,21506.232158946408,59212.15222119262
500,26,5,0.6,TRUE,21499.675898755162,59183.26495728539
100,3,10,0.6,TRUE,35495.129859244276,63592.68975691539
670,3,10,0.6,TRUE,35230.49205183133,63649.946152295895
500,3,10,0.6,TRUE,35235.22161223385,63761.0587485594
100,10,10,0.6,TRUE,28432.007518017534,59861.15911511931
670,10,10,0.6,TRUE,28130.80281743037,59834.22807517761
500,10,10,0.6,TRUE,28238.53562609698,60079.23386325011
100,16,10,0.6,TRUE,27283.900716167263,59859.120295528235
670,16,10,0.6,TRUE,26821.627659248592,59456.69694229862
500,16,10,0.6,TRUE,26813.6671343122,59671.85879187111
100,22,10,0.6,TRUE,26529.117033277944,60370.046480999365
670,22,10,0.6,TRUE,26138.67602721284,59365.45640762065
500,22,10,0.6,TRUE,26160.737348266637,59246.48429699387
100,26,10,0.6,TRUE,26063.51527892355,59373.15962507941
670,26,10,0.6,TRUE,25818.07178408221,59163.07818885246
500,26,10,0.6,TRUE,25828.199984216717,59210.19085206885
100,3,1,0.8,TRUE,20804.98587652521,63760.006032319725
670,3,1,0.8,TRUE,20482.783942629434,63050.090010995445
500,3,1,0.8,TRUE,20392.747140864587,62986.21897496003
100,10,1,0.8,TRUE,14291.030900213182,59867.94547395512
670,10,1,0.8,TRUE,13913.572332221454,59279.80098479774
500,10,1,0.8,TRUE,13983.469163133272,59620.252567231495
100,16,1,0.8,TRUE,13355.081107437783,59617.10453536367
670,16,1,0.8,TRUE,12979.571090140282,59364.8281683671
500,16,1,0.8,TRUE,12976.750635179571,59280.415848772114
100,22,1,0.8,TRUE,13039.392076491788,59674.118451587936
670,22,1,0.8,TRUE,12550.35296803436,59037.89613061865
500,22,1,0.8,TRUE,12597.359308747145,59237.76938650683
100,26,1,0.8,TRUE,12755.432295304765,59561.244194977924
670,26,1,0.8,TRUE,12415.649329323307,59232.01432203776
500,26,1,0.8,TRUE,12467.242252063821,59245.63469689666
100,3,3,0.8,TRUE,22734.43371391053,63750.13244528184
670,3,3,0.8,TRUE,22288.219942719403,62810.498660100726
500,3,3,0.8,TRUE,22297.295952644112,62964.39106195014
100,10,3,0.8,TRUE,15771.358832353271,60310.3751223148
670,10,3,0.8,TRUE,15335.943829303,59351.158110654105
500,10,3,0.8,TRUE,15427.143564852082,59758.71705593854
100,16,3,0.8,TRUE,14530.44319668203,59705.877041532505
670,16,3,0.8,TRUE,14262.239430449219,59209.28285869155
500,16,3,0.8,TRUE,14254.691221292287,59276.35643905202
100,22,3,0.8,TRUE,14225.933706651227,59552.26621652937
670,22,3,0.8,TRUE,13785.080558248994,59237.94360972864
500,22,3,0.8,TRUE,13808.600398958199,59214.5322905818
100,26,3,0.8,TRUE,13965.453899525939,59845.157075330484
670,26,3,0.8,TRUE,13621.016244531405,59029.92323494262
500,26,3,0.8,TRUE,13637.690548906692,59140.337600343235
100,3,5,0.8,TRUE,25161.45895768069,63999.09072642539
670,3,5,0.8,TRUE,24720.869956244347,63015.729638016266
500,3,5,0.8,TRUE,24648.85088684639,63168.691357599564
100,10,5,0.8,TRUE,17713.009414288277,59846.907359909965
670,10,5,0.8,TRUE,17312.946961920206,59574.50549763838
500,10,5,0.8,TRUE,17318.553174653192,59729.96408602808
100,16,5,0.8,TRUE,16553.384228914252,59456.41662640016
670,16,5,0.8,TRUE,16148.43022712138,59052.31497475208
500,16,5,0.8,TRUE,16133.855122640596,59231.63967679175
100,22,5,0.8,TRUE,15977.45971230712,60203.59518590594
670,22,5,0.8,TRUE,15579.573016662122,59282.57765258844
500,22,5,0.8,TRUE,15543.613685329554,59216.107899019924
100,26,5,0.8,TRUE,15747.25227534054,59604.82565978542
670,26,5,0.8,TRUE,15357.541428768598,59201.08775986938
500,26,5,0.8,TRUE,15332.258137504701,59132.381388999165
100,3,10,0.8,TRUE,30051.06008239936,63689.02914745145
670,3,10,0.8,TRUE,29756.948082416857,63336.58823629984
500,3,10,0.8,TRUE,29775.217606958024,63200.41167223383
100,10,10,0.8,TRUE,22433.811974939235,60114.118685710266
670,10,10,0.8,TRUE,22168.996202372233,59595.74693869699
500,10,10,0.8,TRUE,22178.41205755982,59667.839811344646
100,16,10,0.8,TRUE,21031.353949352033,59646.28896343458
670,16,10,0.8,TRUE,20696.420231926102,59245.03500873845
500,16,10,0.8,TRUE,20679.00888020504,59013.20072500116
100,22,10,0.8,TRUE,20256.274046168986,59435.603865041616
670,22,10,0.8,TRUE,20014.202114349686,59157.02281217715
500,22,10,0.8,TRUE,20081.890195482396,59004.8944652021
100,26,10,0.8,TRUE,20023.92708704709,59538.579544980355
670,26,10,0.8,TRUE,19656.40007078899,59266.37375070338
500,26,10,0.8,TRUE,19740.077368273734,59265.90910151669
100,3,1,0.5,FALSE,23276.3312819958,63292.798022171104
670,3,1,0.5,FALSE,22928.663652900825,63042.798206261476
