gamma,C,epsilon,train_loss,valid_loss
0.01,0.01,0.05,89768.57401635117,91100.31036022685
0.1,0.01,0.05,121004.68676707463,121547.10490314565
0.2,0.01,0.05,145537.00855314443,144688.526050758
0.5,0.01,0.05,160093.90780173993,158329.03170860274
1,0.01,0.05,163562.32420429768,161600.17443789216
0.01,0.1,0.05,77906.26898460597,82528.14262219335
0.1,0.1,0.05,87921.99929931661,103993.2351776168
0.2,0.1,0.05,101385.81112569117,119744.99053571266
0.5,0.1,0.05,117207.40889460972,136554.65050445087
1,0.1,0.05,122087.49562230366,142286.39655242054
0.01,1,0.05,60275.85698389925,72657.42509578425
0.1,1,0.05,33559.90971703141,90519.70634136879
0.2,1,0.05,27503.65052358908,104521.37553387032
0.5,1,0.05,21730.20368507986,118563.4234328281
1,1,0.05,18180.386339183846,124312.02243022571
0.01,10,0.05,43919.471843236824,73753.01896889045
0.1,10,0.05,11842.269654176025,96344.77044986532
0.2,10,0.05,8217.113650856692,108148.86974447903
0.5,10,0.05,5492.508919520305,120688.23507263046
1,10,0.05,4186.0307105752445,125662.92970187467
0.01,100,0.05,29915.020065944882,90134.71687066017
0.1,100,0.05,6163.829671563403,118247.82319176264
0.2,100,0.05,4469.925011755133,122989.80965690917
0.5,100,0.05,3253.942055854862,129637.64278230176
1,100,0.05,2603.786017389759,134283.23847947037
0.01,0.01,0.1,89133.36630531916,90492.66533884982
0.1,0.01,0.1,120647.73520696803,121180.59389057693
0.2,0.01,0.1,145121.15274607428,144312.8613199288
0.5,0.01,0.1,159345.96992563142,157642.74153945717
1,0.01,0.1,163050.2752122244,161145.6473605461
0.01,0.1,0.1,76812.6505105374,81323.9496975952
0.1,0.1,0.1,87376.70873496417,103155.53789214451
0.2,0.1,0.1,100838.82608459184,119026.10612298215
0.5,0.1,0.1,116492.68873850853,135758.54122583702
1,0.1,0.1,121529.44482439948,141582.8415117024
0.01,1,0.1,59692.66963997273,72039.77128945426
0.1,1,0.1,33121.66717885469,89834.35769276274
0.2,1,0.1,27114.932802755036,103828.84122039868
0.5,1,0.1,21438.44490969228,117945.66546038256
1,1,0.1,18025.382093325137,123880.8316169545
0.01,10,0.1,43664.12870882875,73295.52842517401
